id,rank,symbol,name,supply,maxSupply,marketCapUsd,volumeUsd24Hr,priceUsd,changePercent24Hr,vwap24Hr,explorer
skale-network,86,SKL,SKALE,5339102671.0000000000000000,7000000000.0000000000000000,465997872.1116610376260335,38955978.8391959359567391,0.0872801856092385,-6.2340326757410958,0.0940209043253637,https://etherscan.io/token/0x00c83aecc790e8a4453e5dd3b0b4b3680501a7a7
1inch,87,1INCH,1inch Network,1157136144.0725040000000000,,460828420.2693228984658100,19944031.5358799898951555,0.3982490933585843,-0.8021628211980015,0.3975456377331997,https://etherscan.io/token/0x111111111117dc0aa78b770fa6a738034120c302
dexe,88,DEXE,DeXe,36500047.2325947400000000,98942301.0000000000000000,448276811.0902388110329552,1187368.0245031800264671,12.2815405753756173,3.5648500687585683,11.9854281233119728,https://etherscan.io/token/0xde4EE8057785A7e8e800Db58F9784845A5C2Cbd6
enjin-coin,89,ENJ,Enjin Coin,1379841765.7600000000000000,,441572815.7925730001664664,8610569.4496921856689373,0.3200169952453643,0.9372205973477670,0.3179394764772784,https://etherscan.io/token/0xf629cbd94d3791c9250152bd8dfbdf380e2a3b9c
compound,90,COMP,Compound,8111157.0093396100000000,10000000.0000000000000000,430346592.0812219794319589,11998886.1841156272169332,53.0561289327402277,0.9110989789440812,52.7427831266642116,https://etherscan.io/token/0xc00e94cb662c3520282e6f5717214004a7f26888
ftx-token,91,FTT,FTX Token,328895103.8132070000000000,352170015.0000000000000000,430172112.1324995599009108,6188652.6988683710465199,1.3079310307301258,5.6889904403878850,1.2648823092514984,https://etherscan.io/token/0x50d1c9771902476076ecfc8b2a83ad6b9355a4c9
ankr,92,ANKR,Ankr,10000000000.0000000000000000,,424944117.9031350000000000,13359821.6771099946796061,0.0424944117903135,0.1366641744190598,0.0421334929817305,https://etherscan.io/token/0x8290333ceF9e6D528dD5618Fb97a76f268f3EDD4
trust-wallet-token,93,TWT,Trust Wallet Token,416649900.0000000000000000,1000000000.0000000000000000,420421172.7306129540287100,4400355.2583124962935360,1.0090514187825629,0.6410469629062103,0.9883682972753802,https://explorer.binance.org/asset/TWT-8C2
zilliqa,94,ZIL,Zilliqa,17372203179.0000000000000000,21000000000.0000000000000000,419237271.2071856806882974,15909264.4873681699495033,0.0241326483974106,0.5534374814446576,0.0240627434246504,https://etherscan.io/token/0x05f4a42e251f2d52b8ed15e9fedaacfcef1fad27
0x,95,ZRX,0x Protocol,847496054.8027713000000000,1000000000.0000000000000000,417502971.9178110878386933,9801998.1336607907731290,0.4926311686665870,2.9286536481862409,0.4823485599685807,https://etherscan.io/token/ZRX
celo,96,CELO,Celo,533817831.0000000000000000,1000000000.0000000000000000,415913612.6812423858149465,8296528.6945242751943959,0.7791302360622015,1.0853591314189477,0.7642513469846633,https://explorer.celo.org/blocks
nxm,97,NXM,NXM,6594067.8412913900000000,,415147690.2256806222029054,687271.6118646431985194,62.9577523643398868,-1.2616842671205394,62.7411219479588097,https://etherscan.io/token/0xd7c49cee7e9188cca6ad8ff264c1da2e69d4cf3b
rocket-pool,98,RPL,Rocket Pool,20292984.9475469900000000,,414318750.1599629159594022,434121.4596956366357174,20.4168460791198509,1.1717181114979832,20.0914808686570006,https://etherscan.io/token/0xb4efd85c19999d84251304bda99e90b92300bd93
ravencoin,99,RVN,Ravencoin,13740509327.1639180000000000,21000000000.0000000000000000,411484535.8515858105976139,10414994.5311129984939878,0.0299468182768242,2.0728658150924430,0.0294517894402954,https://ravencoin.network/
qtum,100,QTUM,Qtum,104755842.0000000000000000,107822406.0000000000000000,409753713.3921942508263402,18381595.1218687075829750,3.9115118123168181,-3.7983570745104870,3.9875126350505213,https://qtum.info/
